gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
BTK,0.13624763345759838,2.822545193761889,2.6862975603042907,1.0002778852472742,0.3194009425698937,100,50,0.3811845865763546,0.13624763345759838,NS
IGSF22,0.1362417913106737,1.0706991976603182,0.9344574063496445,1.6458330558907297,0.10192567207424591,100,50,0.1391625366098308,0.1362417913106737,NS
PPP1R27,-0.13620153882690997,0.1754311589682007,0.31163269779511066,-0.7502876291106186,0.4565895282504159,100,50,0.5207150135133067,0.13620153882690997,NS
AC021851.1,-0.13612319169390985,0.8892349263887225,1.0253581180826323,-1.749957369140041,0.08360722212624436,100,50,0.11624880564363241,0.13612319169390985,NS
ENOX2,-0.1360909814084863,3.8407720695420697,3.976863050950556,-1.7696924402583931,0.07897115153869998,100,50,0.11047135726743997,0.1360909814084863,NS
MIR647,0.13604808678279445,3.750386172250555,3.6143380854677605,0.7314213465916216,0.4658119791712475,100,50,0.5293321089426216,0.13604808678279445,NS
RPL30,0.13602742319094752,7.7669132894107396,7.630885866219792,1.31139228242265,0.19228719498168761,100,50,0.2446248568777756,0.13602742319094752,NS
AC073534.1,-0.13600102825422677,0.9810590094958962,1.117060037750123,-1.7526453400004394,0.08189358851895513,100,50,0.11412618491361953,0.13600102825422677,NS
PRELID2,-0.13596329756404146,1.6815499466235522,1.8175132441875936,-1.5924143779916526,0.11376244020719839,100,50,0.15371153957417402,0.13596329756404146,NS
CCT4,0.13594134512902478,7.419886157980524,7.283944812851499,1.498920190281505,0.13621124064019569,100,50,0.18030076572540002,0.13594134512902478,NS
ARRB2,0.13589628184300917,4.995278036548627,4.859381754705618,1.3282210597671629,0.18787839555530197,100,50,0.23973739985678505,0.13589628184300917,NS
FXR1,0.1358700661544372,5.515283288530834,5.379413222376397,1.9494531306928922,0.053433021093697554,100,50,0.07778340561328703,0.1358700661544372,NS
FBXL12,-0.1358277156793184,4.360232047491673,4.496059763170991,-2.055844643168107,0.041955267100291946,100,50,0.06260587656024766,0.1358277156793184,NS
UBE2G2,-0.13582200103826736,5.436474493552198,5.572296494590465,-2.2194239991507794,0.0279852115062381,100,50,0.04340831083345074,0.13582200103826736,NS
LRP2BP,-0.13577047023766098,1.2464659052791192,1.3822363755167801,-1.8594310202306552,0.06548192559633385,100,50,0.09335369505144274,0.13577047023766098,NS
AL158801.4,0.13575336781773406,1.9374847702586842,1.80173140244095,1.7886652461941623,0.07584092921395094,100,50,0.10657353373350749,0.13575336781773406,NS
MTHFSD,-0.13571038106488986,3.161991631227614,3.297702012292504,-1.852858938316619,0.0666547742666025,100,50,0.09488028700276623,0.13571038106488986,NS
AC139795.2,-0.13570390587022851,2.3458298646862548,2.4815337705564833,-1.201288794999996,0.23195279126256385,100,50,0.2884196481777945,0.13570390587022851,NS
PRRX2,0.13560852601062656,4.062638201679044,3.9270296756684173,0.8901542672095997,0.37514144671742644,100,50,0.4387773003924041,0.13560852601062656,NS
RPL7AP30,-0.13552422348720894,1.7625389136748475,1.8980631371620564,-1.2752287620479068,0.20538995728763523,100,50,0.25911565936328956,0.13552422348720894,NS
STYX,0.13545692707891366,4.586731391939948,4.451274464861035,1.7171394935152158,0.08827575183532806,100,50,0.1220793630374257,0.13545692707891366,NS
RNU7-57P,-0.13544274914886678,0.8891305501643416,1.0245732993132084,-0.7929705899982649,0.42943923579666177,100,50,0.4937678830242839,0.13544274914886678,NS
MAGEC1,0.13543339331382576,0.1961147437281686,0.06068135041434283,1.4035434529543318,0.16273086677609802,100,50,0.21137801074548435,0.13543339331382576,NS
AL356740.1,0.13542278569232158,1.969735015398187,1.8343122297058654,0.8268961716815005,0.4105749061256696,100,50,0.4744523725834981,0.13542278569232158,NS
SLC4A3,-0.13538973079346484,3.0369800951047763,3.172369825898241,-0.8528599657826164,0.3958294316438663,100,50,0.45982416745299076,0.13538973079346484,NS
SYDE2,0.13537505911300496,2.789241611517205,2.6538665524042,0.9699444100482199,0.3337195333023997,100,50,0.3956132422775594,0.13537505911300496,NS
PAXBP1,-0.13534228039006013,3.934131430758181,4.069473711148241,-1.2455525902562494,0.21640776915174992,100,50,0.2711275829735802,0.13534228039006013,NS
ZNF136,-0.1353226922493902,3.4003371082186917,3.535659800468082,-1.3461591172710439,0.18156904388882214,100,50,0.2326290085963539,0.1353226922493902,NS
AC005052.2,-0.13528238813407922,1.0239714269475997,1.159253815081679,-2.0134623706815273,0.046426311661203125,100,50,0.06853391199034725,0.13528238813407922,NS
ZNF671,-0.13527727974153603,3.0709523956310023,3.2062296753725383,-1.1032795065855556,0.27171377093005195,100,50,0.33109234352269107,0.13527727974153603,NS
RIOK1,0.1352744703643065,5.0225591678540225,4.887284697489716,1.5228600977798412,0.1299859051909432,100,50,0.1730693284238066,0.1352744703643065,NS
SPIDR,0.13526840535300355,5.023486497870685,4.888218092517682,1.3433446386174541,0.18165968275076064,100,50,0.2327145985090929,0.13526840535300355,NS
ATP6AP1L,0.1351622021785397,2.113844416083152,1.9786822139046125,1.4886271435205802,0.13873924890230918,100,50,0.18334876240629341,0.1351622021785397,NS
HNRNPH2,0.13512116675781805,7.4738755104737065,7.338754343715888,1.707810195604622,0.08998101397983402,100,50,0.12425282936031531,0.13512116675781805,NS
TAFA3,-0.13509901391572754,1.1640890407256246,1.2991880546413521,-0.8444182210271574,0.3997987784636685,100,50,0.46384935979105935,0.13509901391572754,NS
SNHG20,0.1350082123402372,1.9413906462689112,1.806382433928674,1.3871809927123477,0.1682739938815536,100,50,0.21759395262069378,0.1350082123402372,NS
AC004921.1,-0.13500649018514,1.0660534292252866,1.2010599194104266,-1.3537749871883327,0.17879908010726173,100,50,0.22947864593551662,0.13500649018514,NS
FBXW11,-0.13495195230504464,5.382192033790866,5.517143986095911,-1.6804480780014808,0.09498664718367866,100,50,0.130563605913393,0.13495195230504464,NS
PANK2-AS1,0.13493763685666238,2.210314421040205,2.0753767841835424,1.0697727255587537,0.28705893519757075,100,50,0.347449316779456,0.13493763685666238,NS
AC016065.1,0.1348939433659877,2.109820755767324,1.9749268124013362,1.5092638545040977,0.1337289445977833,100,50,0.17738775226960904,0.1348939433659877,NS
AK6,0.13488290610903064,4.695250497114222,4.560367591005192,2.1657183787810093,0.031978587786166676,100,50,0.048992341161870984,0.13488290610903064,NS
TMEM167B,-0.1348066118153497,5.985971129408845,6.120777741224194,-1.8358781581015051,0.0686334926992313,100,50,0.09742978069161798,0.1348066118153497,NS
XRCC6,0.13479463926445057,8.391514323305389,8.256719684040938,1.8863250054474616,0.06121247063739618,100,50,0.08790879709762707,0.13479463926445057,NS
RGMB,-0.13474002550594788,2.6717847056328736,2.8065247311388215,-1.9394192751760493,0.054367459052988905,100,50,0.07899057834283589,0.13474002550594788,NS
NSD1,0.13467970327207723,4.833882721922754,4.699203018650676,1.327685566408708,0.18654876859522135,100,50,0.23828990674160314,0.13467970327207723,NS
SMARCE1,0.13467386945087645,1.852670257325811,1.7179963878749345,1.6067995453573394,0.11023461361673477,100,50,0.14945159342456293,0.13467386945087645,NS
AC005840.1,-0.1346567820120237,1.1648370488217659,1.2994938308337896,-1.2632860192994142,0.2091447539027007,100,50,0.26319324672668926,0.1346567820120237,NS
POLDIP3,-0.1346085328840667,6.533322547234935,6.6679310801190015,-1.4143076172005078,0.16011714491657061,100,50,0.2084127108909395,0.1346085328840667,NS
